firm_id,active,purge,member_status_id,member_status,member_cat_id,member_cat,application_signed,bbb_rr_url,bbir_status_id,bbir_status,business_type_id,business_type,do_not_mail,number_of_employees,number_of_locations,scope_id,scope_text,date_application_signed,date_established,state_established,date_incorporated,state_incorporated,date_joined_bbb,date_license_checked,date_standards_returned,date_file_opened,mip_status,mip_status-2,mip_date_start,mip_date_delete,outofbusiness_status,outofbusiness_status-2,outofbusiness_date,outofbusiness_status_change,deleted_date,lastupdate,termination_pending,termination_date,termination_active,hq,date_business_start,number_of_customers,annual_revenue,modifiedon,modifiedby,parent_id,date_expire,number_of_parttime,hq_type_id,deleted_pending,deleted_pending_date,date_newowner,rating_pattern,rating_pattern_date,branch_id,createdon,createdby,ischarity,number_of_seasonal,naics,public_company,establishment_type_id,tax_exempt
100,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,8,1,0.0,,,1969-01-05 00:00:00,MN,1969-01-05 00:00:00,MN,,,,1984-06-01 00:00:00,2,No,,,,,,,,2013-09-21 00:00:00,False,,False,False,1969-01-05 00:00:00,0.0,1000000.0,2019-06-21 08:49:02.897,4873.0,,,0.0,,False,,,False,,,,,False,0.0,811121.0,False,0.0,
103,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,150,15,0.0,,,1910-01-01 00:00:00,MN,1949-02-08 00:00:00,MN,2002-08-21 00:00:00,,,1973-06-01 00:00:00,2,No,,,,,,,,2008-09-23 00:00:00,False,,False,True,1910-01-01 00:00:00,,125000000.0,2023-07-05 09:02:55.467,9310.0,,,,4.0,False,,,False,,,,,False,,484210.0,False,0.0,
104,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,40,1,,,,1917-01-01 00:00:00,MN,,,1975-06-30 00:00:00,,,1975-06-01 00:00:00,2,No,,,,,,,,2002-06-18 00:00:00,False,,False,False,1917-01-01 00:00:00,,3900000.0,2021-10-07 12:29:05.097,,,,,,False,,,False,,,,,False,,484210.0,False,,
105,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,6.0,Limited Liability Company (LLC),False,220,1,0.0,,2017-07-24 00:00:00,1924-02-19 00:00:00,MN,2014-12-31 00:00:00,MN,2017-07-26 00:00:00,,,1975-07-01 00:00:00,2,No,,,,,,,,2017-07-24 15:24:28.427,False,,False,False,1934-02-19 00:00:00,300.0,82000000.0,2022-12-16 11:07:35.35,4880.0,,,0.0,,False,,,False,,,,,False,0.0,236210.0,False,0.0,
106,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,5,1,0.0,,,1972-06-03 00:00:00,MN,1972-06-03 00:00:00,MN,2017-05-02 00:00:00,,,1978-01-01 00:00:00,2,No,2008-11-06 00:00:00,2013-02-04 00:00:00,,,,,2019-05-29 00:00:00,2017-05-02 09:49:38.073,False,,False,False,1972-06-03 00:00:00,1000.0,2000000.0,2019-05-29 14:08:54.613,4880.0,,,0.0,,False,,,False,,,,,False,0.0,811111.0,False,0.0,
109,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,25,1,0.0,,2007-12-11 00:00:00,1952-06-01 00:00:00,MN,1952-06-01 00:00:00,MN,1970-07-01 00:00:00,,,1970-07-01 00:00:00,2,No,,,,,,,,2015-05-11 00:00:00,False,,False,False,1952-06-01 00:00:00,800.0,6000000.0,2019-07-17 09:35:59.037,4870.0,,,0.0,,False,,1999-07-15 00:00:00,False,,,,,False,0.0,444190.0,False,0.0,
110,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,12,1,0.0,,,1960-05-11 00:00:00,MN,1960-05-11 00:00:00,MN,2015-05-08 00:00:00,,,1977-07-01 00:00:00,2,No,,,,,,,,2015-05-08 00:00:00,False,,False,False,1960-05-11 00:00:00,3000.0,5000000.0,2016-09-28 10:54:20.403,5675.0,,,0.0,,False,,,False,,,,,False,0.0,238220.0,False,,
111,False,False,1,Not Assigned,1,Not Accredited,False,,,,1.0,Corporation,False,100,1,0.0,,,1958-01-01 00:00:00,MN,,,1971-06-10 00:00:00,,,1971-06-01 00:00:00,2,No,,,,,,,1992-04-01 00:00:00,2013-09-21 00:00:00,False,,False,False,1958-01-01 00:00:00,0.0,0.0,2020-01-08 11:35:15.227,4758.0,,,0.0,,False,,,False,,,,,False,0.0,339999.0,False,,
113,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,16.0,Incorporated,False,73,1,0.0,,,1936-01-01 00:00:00,MN,,MN,1976-08-24 00:00:00,,,1976-08-01 00:00:00,2,No,,,,,,,,2002-08-19 00:00:00,False,,False,False,1950-01-01 00:00:00,1500.0,37000000.0,2022-10-17 15:56:08.25,4880.0,,,0.0,,False,,,False,,,,,False,0.0,238160.0,False,0.0,
114,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,1.0,Corporation,False,20,1,0.0,,,1989-01-01 00:00:00,MN,1990-01-01 00:00:00,MN,1972-07-25 00:00:00,,,1989-01-01 00:00:00,2,No,2008-06-18 00:00:00,2011-08-19 00:00:00,,,,,2011-08-19 00:00:00,2016-02-11 00:00:00,False,,False,False,1989-01-01 00:00:00,2270.0,44000.0,2019-10-23 14:50:00.457,4758.0,,,0.0,,False,,,False,,,,,False,0.0,238330.0,False,0.0,
